Features
Centroid X px
Centroid Y px
Nucleus: Area
Nucleus: Perimeter
Nucleus: Circularity
Nucleus: Max caliper
Nucleus: Min caliper
Nucleus: Eccentricity
Nucleus: Hematoxylin OD mean
Nucleus: Hematoxylin OD sum
Nucleus: Hematoxylin OD std dev
Nucleus: Hematoxylin OD max
Nucleus: Hematoxylin OD min
Nucleus: Hematoxylin OD range
Nucleus: Eosin OD mean
Nucleus: Eosin OD sum
Nucleus: Eosin OD std dev
Nucleus: Eosin OD max
Nucleus: Eosin OD min
Nucleus: Eosin OD range
ROI: 1.00 px per pixel: OD Sum: Mean
ROI: 1.00 px per pixel: OD Sum: Std.dev.
ROI: 1.00 px per pixel: OD Sum: Min
ROI: 1.00 px per pixel: OD Sum: Max
ROI: 1.00 px per pixel: OD Sum: Median
ROI: 1.00 px per pixel: OD Sum: Haralick Angular second moment (F0)
ROI: 1.00 px per pixel: OD Sum: Haralick Contrast (F1)
ROI: 1.00 px per pixel: OD Sum: Haralick Correlation (F2)
ROI: 1.00 px per pixel: OD Sum: Haralick Sum of squares (F3)
ROI: 1.00 px per pixel: OD Sum: Haralick Inverse difference moment (F4)
ROI: 1.00 px per pixel: OD Sum: Haralick Sum average (F5)
ROI: 1.00 px per pixel: OD Sum: Haralick Sum variance (F6)
ROI: 1.00 px per pixel: OD Sum: Haralick Sum entropy (F7)
ROI: 1.00 px per pixel: OD Sum: Haralick Entropy (F8)
ROI: 1.00 px per pixel: OD Sum: Haralick Difference variance (F9)
ROI: 1.00 px per pixel: OD Sum: Haralick Difference entropy (F10)
ROI: 1.00 px per pixel: OD Sum: Haralick Information measure of correlation 1 (F11)
ROI: 1.00 px per pixel: OD Sum: Haralick Information measure of correlation 2 (F12)
ROI: 1.00 px per pixel: Hematoxylin: Mean
ROI: 1.00 px per pixel: Hematoxylin: Std.dev.
ROI: 1.00 px per pixel: Hematoxylin: Min
ROI: 1.00 px per pixel: Hematoxylin: Max
ROI: 1.00 px per pixel: Hematoxylin: Median
ROI: 1.00 px per pixel: Hematoxylin: Haralick Angular second moment (F0)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Contrast (F1)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Correlation (F2)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Sum of squares (F3)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Inverse difference moment (F4)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Sum average (F5)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Sum variance (F6)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Sum entropy (F7)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Entropy (F8)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Difference variance (F9)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Difference entropy (F10)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Information measure of correlation 1 (F11)
ROI: 1.00 px per pixel: Hematoxylin: Haralick Information measure of correlation 2 (F12)
ROI: 1.00 px per pixel: Eosin: Mean
ROI: 1.00 px per pixel: Eosin: Std.dev.
ROI: 1.00 px per pixel: Eosin: Min
ROI: 1.00 px per pixel: Eosin: Max
ROI: 1.00 px per pixel: Eosin: Median
ROI: 1.00 px per pixel: Eosin: Haralick Angular second moment (F0)
ROI: 1.00 px per pixel: Eosin: Haralick Contrast (F1)
ROI: 1.00 px per pixel: Eosin: Haralick Correlation (F2)
ROI: 1.00 px per pixel: Eosin: Haralick Sum of squares (F3)
ROI: 1.00 px per pixel: Eosin: Haralick Inverse difference moment (F4)
ROI: 1.00 px per pixel: Eosin: Haralick Sum average (F5)
ROI: 1.00 px per pixel: Eosin: Haralick Sum variance (F6)
ROI: 1.00 px per pixel: Eosin: Haralick Sum entropy (F7)
ROI: 1.00 px per pixel: Eosin: Haralick Entropy (F8)
ROI: 1.00 px per pixel: Eosin: Haralick Difference variance (F9)
ROI: 1.00 px per pixel: Eosin: Haralick Difference entropy (F10)
ROI: 1.00 px per pixel: Eosin: Haralick Information measure of correlation 1 (F11)
ROI: 1.00 px per pixel: Eosin: Haralick Information measure of correlation 2 (F12)
ROI: 1.00 px per pixel: Residual: Mean
ROI: 1.00 px per pixel: Residual: Std.dev.
ROI: 1.00 px per pixel: Residual: Min
ROI: 1.00 px per pixel: Residual: Max
ROI: 1.00 px per pixel: Residual: Median
ROI: 1.00 px per pixel: Residual: Haralick Angular second moment (F0)
ROI: 1.00 px per pixel: Residual: Haralick Contrast (F1)
ROI: 1.00 px per pixel: Residual: Haralick Correlation (F2)
ROI: 1.00 px per pixel: Residual: Haralick Sum of squares (F3)
ROI: 1.00 px per pixel: Residual: Haralick Inverse difference moment (F4)
ROI: 1.00 px per pixel: Residual: Haralick Sum average (F5)
ROI: 1.00 px per pixel: Residual: Haralick Sum variance (F6)
ROI: 1.00 px per pixel: Residual: Haralick Sum entropy (F7)
ROI: 1.00 px per pixel: Residual: Haralick Entropy (F8)
ROI: 1.00 px per pixel: Residual: Haralick Difference variance (F9)
ROI: 1.00 px per pixel: Residual: Haralick Difference entropy (F10)
ROI: 1.00 px per pixel: Residual: Haralick Information measure of correlation 1 (F11)
ROI: 1.00 px per pixel: Residual: Haralick Information measure of correlation 2 (F12)
ROI: 1.00 px per pixel: Red: Mean
ROI: 1.00 px per pixel: Red: Std.dev.
ROI: 1.00 px per pixel: Red: Min
ROI: 1.00 px per pixel: Red: Max
ROI: 1.00 px per pixel: Red: Median
ROI: 1.00 px per pixel: Red: Haralick Angular second moment (F0)
ROI: 1.00 px per pixel: Red: Haralick Contrast (F1)
ROI: 1.00 px per pixel: Red: Haralick Correlation (F2)
ROI: 1.00 px per pixel: Red: Haralick Sum of squares (F3)
ROI: 1.00 px per pixel: Red: Haralick Inverse difference moment (F4)
ROI: 1.00 px per pixel: Red: Haralick Sum average (F5)
ROI: 1.00 px per pixel: Red: Haralick Sum variance (F6)
ROI: 1.00 px per pixel: Red: Haralick Sum entropy (F7)
ROI: 1.00 px per pixel: Red: Haralick Entropy (F8)
ROI: 1.00 px per pixel: Red: Haralick Difference variance (F9)
ROI: 1.00 px per pixel: Red: Haralick Difference entropy (F10)
ROI: 1.00 px per pixel: Red: Haralick Information measure of correlation 1 (F11)
ROI: 1.00 px per pixel: Red: Haralick Information measure of correlation 2 (F12)
ROI: 1.00 px per pixel: Green: Mean
ROI: 1.00 px per pixel: Green: Std.dev.
ROI: 1.00 px per pixel: Green: Min
ROI: 1.00 px per pixel: Green: Max
ROI: 1.00 px per pixel: Green: Median
